person  ,year  ,statecode  ,race  ,gender  ,age  ,Education  ,Food  ,Beauty  ,Health
76,2020,11,HispLatinos  ,Male  ,16,461.4,500.1,58.64,258.9
77,2020,11,Asian  ,Male  ,17,539.1,521.3,50.2,244.25
78,2020,11,White  ,Male  ,22,525.5,519.8,50.61,251.7
79,2020,11,Asian  ,Female  ,16,416.7,476.7,51.73,242.5
80,2020,11,Non  ,Female  ,16,402.4,550.6,36.18,197.5
81,2020,11,Asian  ,Male  ,18,597.7,560.4,59.55,231.2
82,2020,11,Asian  ,Female  ,16,531.7,496.7,40.33,216.5
83,2020,11,Native  ,Female  ,16,339.9,516.9,60.17,272.55
84,2020,11,White  ,Female  ,16,471.6,508.7,45.09,201.7
85,2020,11,Asian  ,Female  ,18,429.4,400.2,43.06,227.3
86,2020,11,HispLatinos  ,Male  ,21,568.8,494.8,53.13,275.55
87,2020,11,Asian  ,Female  ,20,567.1,584.1,47.86,237.8
88,2020,11,Black  ,Female  ,16,388.4,454.3,33.74,215.6
89,2020,11,Non  ,Male  ,16,515.1,575.7,66.98,285.2
90,2020,11,Asian  ,Female  ,18,562,491.6,43.81,260.75
91,2020,11,Asian  ,Male  ,23,800.9,635.5,68.55,321.3
92,2020,11,White  ,Female  ,16,364.3,582.3,57.31,286.65
93,2020,11,HispLatinos  ,Female  ,16,355,512.2,48.16,234.75
94,2020,11,Asian  ,Male  ,18,487.6,593.1,55.01,264.6
95,2020,11,White  ,Male  ,18,717.2,590.8,69.5,302.35
96,2020,11,Asian  ,Female  ,16,379.4,492,43.36,179.75
97,2020,11,White  ,Female  ,16,536.3,571.9,54.26,264.7
98,2020,11,Native  ,Male  ,22,399.8,461.4,47.84,232.4
99,2020,11,Asian  ,Female  ,17,732.5,602.2,67.5,306.6
100,2020,11,Asian  ,Female  ,18,481.6,532.6,48.9,257.45
101,2020,11,Asian  ,Female  ,20,444.8,529.9,47.7,213.75
102,2020,11,HispLatinos  ,Female  ,20,530,584.2,62.09,282.5
103,2020,11,Asian  ,Male  ,16,420.4,510.6,51.51,277.55
104,2020,11,Asian  ,Female  ,16,577.1,591.2,65.63,246.15
105,2020,11,Asian  ,Female  ,18,439,545.2,40.33,204.05
106,2020,11,Asian  ,Female  ,23,355.6,491.7,39.39,225.55
107,2020,11,Asian  ,Female  ,22,540.5,495.1,40.73,187.15
108,2020,11,Asian  ,Female  ,20,436.8,552.4,43.21,207.75
109,2020,11,Asian  ,Female  ,18,596.8,499.7,46.41,232.4
110,2020,11,Asian  ,Female  ,23,426.6,402.5,56.42,273.35
111,2020,11,Asian  ,Female  ,19,473.6,473.1,51.54,261.05
112,2020,11,Asian  ,Male  ,24,407.3,504.2,42.41,172
113,2020,11,White  ,Female  ,18,398.1,515.3,47.91,267.35
114,2020,11,Asian  ,Female  ,21,566,569.2,47.83,265.9
115,2020,11,Black  ,Male  ,23,592.8,593.8,57.88,233.65
116,2020,11,Asian  ,Female  ,20,469,517.6,37.81,224.2
117,2020,11,Asian  ,Female  ,16,409.5,514.3,38.96,178.65
118,2020,11,Asian  ,Female  ,16,352.4,361.3,38.88,195.2
119,2020,11,White  ,Female  ,18,606.7,594.7,66.11,319.25
120,2020,11,HispLatinos  ,Female  ,16,336.4,481.3,43.06,172.75
121,2020,11,Black  ,Male  ,16,644.5,539.1,63.75,279.85
122,2020,11,Asian  ,Female  ,16,474.8,491.4,41.04,218.05
123,2020,11,Asian  ,Male  ,16,535.8,475.8,57.58,271.35
124,2020,11,White  ,Female  ,20,825.7,728.7,79.86,356.1
125,2020,11,Asian  ,Male  ,16,409.1,523.9,46.43,223.45
126,2020,11,Asian  ,Female  ,16,346.6,523.2,47.18,225.8
127,2020,11,Asian  ,Female  ,18,368.3,395.9,33.62,178.8
128,2020,11,Asian  ,Female  ,19,437,555.9,54.82,250.15
129,2020,11,Black  ,Female  ,21,392.7,529.7,47.16,208.7
130,2020,11,Asian  ,Female  ,20,387.7,438.2,39.65,211.7
131,2020,11,Asian  ,Female  ,16,430,510.7,46.35,245.15
132,2020,11,HispLatinos  ,Male  ,16,525,550.5,58.88,254.55
133,2020,11,Asian  ,Female  ,18,482.1,475.9,53.65,249.45
134,2020,11,Asian  ,Male  ,21,557.5,398.1,42.6,246.05
135,2020,11,White  ,Female  ,21,480.6,534.1,39.2,250
136,2020,11,Asian  ,Female  ,24,473.5,354.1,39.44,230.85
137,2020,11,Asian  ,Male  ,23,416.3,569.7,42.21,222.45
138,2020,11,Asian  ,Male  ,19,352.1,521.8,37.6,206.5
139,2020,11,White  ,Male  ,16,498.4,526.9,50.71,280.75
140,2020,11,Asian  ,Female  ,20,479.6,557.8,50.46,227.05
141,2020,11,Asian  ,Female  ,19,441.4,550.9,39.1,225.55
142,2020,11,White  ,Female  ,24,473.6,409.7,42.01,191.6
143,2020,11,Asian  ,Male  ,20,500.8,574.7,57.47,256.55
144,2020,11,Asian  ,Male  ,20,375.7,455.8,43.47,253.25
145,2020,11,Asian  ,Male  ,18,568.4,516.1,54.26,244.95
146,2020,11,Black  ,Female  ,16,378.9,418.9,43.92,200.4
147,2020,11,Asian  ,Female  ,23,422.1,536.5,50.61,260.2
148,2020,11,Asian  ,Female  ,19,415.2,477.8,51.52,189.3
149,2020,11,White  ,Female  ,19,355.3,423.8,40.01,193.45
150,2020,11,Asian  ,Male  ,20,374.5,483.8,40.06,185.75
151,2020,11,Native  ,Male  ,16,436,442,46.64,215.25
152,2020,11,Black  ,Female  ,18,426.9,405.2,49.86,231.1
153,2020,11,Asian  ,Male  ,18,471.7,483.8,48.59,223.6
154,2020,11,Asian  ,Male  ,16,628.8,542.6,55.62,189.65
155,2020,11,Asian  ,Male  ,22,495.9,394.9,44.63,226.05
156,2020,11,Black  ,Female  ,24,441.4,529.1,55.19,238.25
157,2020,11,White  ,Male  ,16,674.1,583.7,64.01,286.3
158,2020,11,Asian  ,Female  ,17,641.7,590.5,62.71,324.05
159,2020,11,Asian  ,Male  ,21,447,446.7,45.73,289.9
160,2020,11,Asian  ,Male  ,16,625.1,601.4,66.7,256.65
161,2020,11,Black  ,Male  ,21,421.4,405.1,41.48,207.7
162,2020,11,Non  ,Female  ,16,367.8,486.4,37.48,218
163,2020,11,White  ,Male  ,16,711.2,561.5,66.53,280.05
164,2020,11,Asian  ,Male  ,24,509.3,495.1,50.18,248.2
165,2020,11,White  ,Female  ,16,331.7,469.6,38.46,215.65
166,2020,11,HispLatinos  ,Female  ,19,544.2,516.5,40.55,202.7
167,2020,11,Asian  ,Male  ,16,590.6,450.6,52.3,260.15
168,2020,11,White  ,Female  ,18,406.9,497.2,51.25,240.45
169,2020,11,Asian  ,Female  ,18,518.2,504,57.32,263.95
170,2020,11,Asian  ,Female  ,18,396.7,480,47.53,197.1
171,2020,11,Asian  ,Female  ,18,440.9,492.7,41.65,231.1
172,2020,11,Asian  ,Male  ,22,488.7,458,45.25,230.7
173,2020,11,Asian  ,Male  ,18,575.4,511.1,57.44,270.75
174,2020,11,Asian  ,Female  ,18,640.7,558.8,56,297.45
175,2020,11,Asian  ,Male  ,22,499.6,506.6,54.13,285.9
176,2020,11,Asian  ,Male  ,19,584.2,521.9,51.39,243.45
177,2020,11,Black  ,Female  ,22,530.3,591.8,53.01,244.4
178,2020,11,White  ,Female  ,16,610.4,523.7,40.78,285.15
179,2020,11,White  ,Female  ,19,502.9,500.2,54.25,191.45
180,2020,11,Asian  ,Female  ,18,488.9,503,37.65,213.85
181,2020,11,Asian  ,Female  ,17,492.6,553.2,55.36,264.4
182,2020,11,Asian  ,Female  ,16,513.6,508.6,58.89,222.5
183,2020,11,Black  ,Female  ,17,628.9,573.2,60.85,258.25
184,2020,11,Black  ,Female  ,20,379.1,521.7,40.77,226.7
185,2020,11,Black  ,Male  ,16,517.8,402.1,39.74,228.35
186,2020,11,Asian  ,Female  ,21,425.9,414.7,41.36,215.25
187,2020,11,Non  ,Male  ,18,471.3,530,52.85,276.5
188,2020,11,White  ,Male  ,19,434.6,472,43.71,240.3
189,2020,11,Asian  ,Female  ,20,368.5,503.1,48.73,225.1
190,2020,11,HispLatinos  ,Male  ,18,579.2,605.3,44.86,296.25
191,2020,11,Asian  ,Female  ,18,444.3,482.5,47.68,203
192,2020,11,Asian  ,Male  ,23,379.2,404,37.6,205.1
193,2020,11,White  ,Male  ,16,438.8,381.4,37.11,221.15
194,2020,11,White  ,Female  ,18,629,583.5,55.9,251.75
195,2020,11,Non  ,Female  ,17,478.3,476.6,55.46,246.95
196,2020,12,Asian  ,Female  ,20,360.6,354.7,40.39,223.25
197,2020,12,White  ,Female  ,22,477.4,495.6,43.08,195.7
198,2020,12,Asian  ,Female  ,18,420.1,422.2,54.8,261.05
199,2020,12,Asian  ,Male  ,16,415.5,475.9,54.52,246.8
200,2020,12,Asian  ,Female  ,19,336.1,455.3,40.98,172.65
201,2020,12,White  ,Female  ,18,558.6,512.3,46.97,234.75
202,2020,12,White  ,Female  ,18,633.7,569.7,49.82,234.75
203,2020,12,Asian  ,Male  ,16,471.3,315,41.36,208
204,2020,12,Black  ,Male  ,16,557.6,563.8,60.77,259.35
205,2020,12,Asian  ,Female  ,21,524.3,511.8,53.03,244.65
206,2020,12,White  ,Female  ,16,358.3,493.2,51.22,215.3
207,2020,12,Asian  ,Male  ,21,390.6,371.5,41.28,186.6
208,2020,12,Asian  ,Male  ,19,350.9,535.2,39.15,214.65
209,2020,12,Asian  ,Male  ,19,437.7,485.4,41.83,188
210,2020,12,Asian  ,Female  ,22,474.7,497.5,40.36,224.55
211,2020,12,Native  ,Female  ,18,365.6,477.4,48.06,218.4
212,2020,12,White  ,Female  ,16,453.6,460.9,43.75,228.55
213,2020,12,Asian  ,Male  ,21,534.4,464.6,36.16,198.85
214,2020,12,Asian  ,Female  ,18,576,586.6,60.13,232.3
215,2020,12,Asian  ,Female  ,20,587.8,528.9,48.82,276.8
216,2020,12,Asian  ,Female  ,16,380.2,438.9,43.32,180.75
217,2020,12,Asian  ,Male  ,17,546.2,459.1,57.78,272.2
218,2020,12,Asian  ,Female  ,19,414.6,470,35.75,187.6
219,2020,12,Asian  ,Female  ,16,394.1,499.6,41.87,172.25
220,2020,12,Asian  ,Male  ,16,586.9,599.3,62.64,282.75
221,2020,12,Asian  ,Male  ,20,524,496,41.98,193.4
222,2020,12,White  ,Male  ,23,471.4,476.6,40.58,203.85
223,2020,12,Asian  ,Female  ,24,423.8,446.6,41.92,182.65
224,2020,12,Asian  ,Female  ,21,412.3,447.9,39.63,232.1
225,2020,12,Asian  ,Female  ,17,478.9,563,54.42,228.6
226,2020,12,Asian  ,Female  ,18,380.4,401.9,40.33,219
227,2020,12,Asian  ,Male  ,17,504.9,500.3,51.67,220.95
228,2020,12,Asian  ,Female  ,17,412.6,377,37.72,196.1
229,2020,12,Asian  ,Female  ,23,367.7,498.7,49.31,245.2
230,2020,12,Asian  ,Female  ,20,355.9,507.7,44.89,186.95
231,2020,12,Asian  ,Female  ,18,371.7,478.8,43.43,222.15
232,2020,12,Asian  ,Female  ,19,376.6,425.9,42.59,203.3
233,2020,12,Asian  ,Female  ,18,474.1,573,53.77,255
234,2020,12,Asian  ,Male  ,16,392.1,501.5,39.82,192.75
235,2020,12,Asian  ,Male  ,19,357.5,435.9,41.21,242.75
236,2020,12,Native  ,Female  ,23,419.4,418.3,47.4,229.9
237,2020,12,Asian  ,Female  ,17,360,403.7,39.3,207.1
238,2020,12,Asian  ,Female  ,22,483.7,349.8,34.65,185.45
239,2020,12,Asian  ,Male  ,20,400.5,498.4,36.5,193.5
240,2020,12,Asian  ,Female  ,16,436.3,518.7,48.35,247.95
241,2020,12,Asian  ,Male  ,16,620.4,547,59.88,275.75
242,2020,12,Asian  ,Female  ,21,344.3,423.6,34.12,218
243,2020,12,Asian  ,Female  ,16,596.3,496.6,46.71,287.65
244,2020,12,White  ,Female  ,17,416.2,547.5,59.97,295
245,2020,12,Asian  ,Male  ,16,453.2,381.8,48.91,218.9
246,2020,12,Asian  ,Female  ,16,498.7,494.2,60.46,268.7
247,2020,12,White  ,Female  ,16,657.4,628.8,57.95,286.75
248,2020,12,Black  ,Female  ,17,357.2,499.6,42.09,185.25
249,2020,12,Asian  ,Female  ,16,382.2,501.4,44.36,222.15
250,2020,12,Black  ,Male  ,18,449.6,575.6,54.94,207.35
251,2020,12,Asian  ,Male  ,16,350.6,398.3,39.57,191.15
252,2020,12,Asian  ,Female  ,16,484.9,585.2,58.99,287.55
253,2020,12,Asian  ,Male  ,21,380.2,456.1,46.84,262.7
254,2020,12,Non  ,Female  ,22,520.3,475.1,41.14,191.05
255,2020,12,Asian  ,Female  ,22,399.3,483.3,33.51,208.35
256,2020,12,Asian  ,Female  ,24,397.7,560.7,39.56,301
257,2020,12,Asian  ,Female  ,21,342.3,411.4,39.9,196.05
258,2020,12,Non  ,Male  ,17,517.2,503.9,40.53,226.25
259,2020,12,Asian  ,Female  ,16,415.7,402.7,41.7,207.8
260,2020,12,Asian  ,Female  ,20,336.3,449.2,42.85,193.3
261,2020,12,Non  ,Female  ,19,676,562.9,63.01,323.9
262,2020,12,White  ,Male  ,18,598.1,562.4,62.81,248.1
263,2020,12,White  ,Female  ,16,437.8,502.8,44.25,246.95
264,2020,12,Asian  ,Female  ,21,368.7,466.4,36.1,236.1
265,2020,12,White  ,Female  ,17,716.4,631.2,63.4,319.3
266,2020,12,Black  ,Female  ,18,452.6,570.8,41.85,229.95
267,2020,12,White  ,Female  ,16,453.7,589.3,59.79,287.9
268,2020,12,Asian  ,Female  ,16,576.9,593.2,55.63,267.55
269,2020,12,White  ,Male  ,16,385.5,390.3,36.32,208.6
270,2020,12,Black  ,Male  ,18,429.1,352.1,42.36,228.9
271,2020,12,Asian  ,Male  ,16,553.9,584.2,51.05,255.95
272,2020,12,Asian  ,Female  ,19,386.7,401.6,42.19,192.9
273,2020,12,White  ,Male  ,16,517.3,490,44.28,231.05
274,2020,12,Asian  ,Male  ,16,512.1,541,57.24,227.65
275,2020,12,Black  ,Male  ,19,580.7,447,53.51,232.25
276,2020,12,Asian  ,Male  ,16,594.3,515.6,58.35,270.05
277,2020,12,Asian  ,Female  ,17,439.8,420.9,40.16,204.65
278,2020,12,Asian  ,Female  ,18,587.2,518.1,46.81,268.8
279,2020,12,Asian  ,Male  ,18,637.5,451.8,42.08,232.65
280,2020,12,Asian  ,Male  ,16,693.3,551.2,55.85,316.15
281,2020,12,Asian  ,Female  ,22,394,531,46.89,213.3
282,2020,12,Asian  ,Female  ,21,337.7,605.4,43.91,233.85
283,2020,12,Black  ,Female  ,21,533.1,575.6,43.47,219.6
284,2020,12,Black  ,Male  ,18,430.5,556.2,53.05,231.9
285,2020,12,Asian  ,Female  ,18,538.9,497.3,43.99,228.7
286,2020,12,White  ,Male  ,16,404.1,471.1,44.09,218.4
287,2020,12,Asian  ,Male  ,16,405.4,514,49.19,246.75
288,2020,12,Asian  ,Male  ,23,492.6,615.7,63.15,276.95
289,2020,12,Asian  ,Female  ,17,494.2,594.1,57.67,209.75
290,2020,12,Asian  ,Female  ,16,470.6,554.7,52.37,226.05
291,2020,12,Asian  ,Female  ,16,372.8,449.3,40.96,193.25
292,2020,12,White  ,Female  ,21,644,606.3,66.08,290.25
293,2020,12,Asian  ,Female  ,20,512.5,543.7,41.32,244.45
294,2020,12,Asian  ,Female  ,16,381.7,365.3,41.41,208.8
295,2020,12,Asian  ,Male  ,23,503,483.5,38.63,247.1
296,2020,12,Asian  ,Female  ,16,400.3,452.4,43.31,211.4
297,2020,12,White  ,Female  ,16,401.4,365.1,40.86,200.35
298,2020,12,Asian  ,Male  ,16,591.2,546.8,64.04,268.65
299,2020,12,Asian  ,Female  ,18,409.2,562.6,54.84,234.9
300,2020,12,Asian  ,Female  ,17,400.2,465.5,42.21,187.55
301,2020,12,White  ,Male  ,19,565.8,575,60.65,232.3
302,2020,12,Asian  ,Male  ,19,600.6,538.5,57.92,276.65
303,2020,12,Asian  ,Male  ,20,483.9,508.6,57.41,202.8
304,2020,12,White  ,Female  ,21,571.6,598.9,49.17,221.15
305,2020,12,White  ,Male  ,16,481.2,571.6,36.85,274.25
306,2020,12,Asian  ,Male  ,24,364.9,377.3,37.29,215.65
307,2020,12,Asian  ,Female  ,24,480.7,502.6,46.17,195.85
308,2020,12,Asian  ,Male  ,16,491.8,520.9,50.16,227.15
309,2020,12,White  ,Male  ,16,536,574.6,57.46,259.85
310,2020,12,Asian  ,Male  ,16,617.9,603.1,61.32,279.1
311,2020,12,Asian  ,Female  ,20,547.6,624.9,59.14,256.15
312,2020,12,Asian  ,Female  ,18,364.5,593.9,44.15,234.15
313,2020,12,Asian  ,Female  ,19,386.1,485.9,47.37,215.35
314,2020,12,Asian  ,Male  ,16,430.4,531.7,54.56,285.25
315,2020,12,White  ,Female  ,16,420.4,481.6,40.73,197.55
316,2020,12,Black  ,Male  ,16,654.9,514.9,58.83,267.8
317,2020,12,Asian  ,Male  ,16,426,478.1,48.2,183.9
318,2020,12,Asian  ,Male  ,20,546.9,515.3,53.28,211.45
319,2020,12,Asian  ,Male  ,17,656.5,606.4,62.96,312.7
320,2020,12,Asian  ,Female  ,16,443.6,417.6,47.15,217.5
321,2020,12,Non  ,Female  ,18,381.3,516.4,43.28,224.8
322,2020,12,White  ,Male  ,17,632.5,602,58.94,279.55
323,2020,12,Asian  ,Female  ,20,380.2,434.8,38.94,201.15
324,2020,12,Asian  ,Female  ,23,405,448.7,40.96,223.4
325,2020,12,Asian  ,Male  ,19,554.6,579.4,56.2,240.4
326,2020,12,Asian  ,Female  ,16,630.3,517.1,53.06,257.7
327,2020,12,Asian  ,Female  ,21,402.4,342.6,44.58,188.25
328,2020,12,Asian  ,Male  ,22,512.6,538,57.12,254.9
329,2020,12,Asian  ,Female  ,20,630.7,602.9,57.02,269.6
330,2020,12,White  ,Male  ,18,446.6,404,45.57,179.4
331,2020,12,White  ,Male  ,17,633.8,583.9,62.38,257.8
332,2020,12,Asian  ,Male  ,16,542.9,583.6,58.84,298.75
333,2020,12,Asian  ,Female  ,18,391.8,437.3,40.74,211.65
334,2020,12,White  ,Female  ,17,433.5,464.2,44.43,198.3
335,2020,12,Asian  ,Female  ,19,447.4,494.5,40.05,212
336,2020,12,Non  ,Male  ,21,644.9,591.7,60.04,306.6
337,2020,12,White  ,Female  ,17,423.9,559.6,43.56,226.4
338,2020,12,Asian  ,Male  ,18,406.2,480.3,40.13,250.35
339,2020,12,Asian  ,Male  ,16,472.3,519.9,62.62,248.7
340,2020,12,Asian  ,Female  ,20,421,552.6,62.97,256.6
341,2020,12,Asian  ,Female  ,16,361.6,518.8,48.63,224.55
342,2020,12,Asian  ,Male  ,21,402.6,386.1,36.38,229.6
343,2020,12,Asian  ,Female  ,18,684.1,533.8,53.19,305.4
344,2020,12,Asian  ,Female  ,23,526.6,555.4,38.35,261.65
345,2020,12,Asian  ,Female  ,19,534.9,550.6,44.09,240.05
346,2020,12,White  ,Female  ,22,386.5,509,47.52,224.75
347,2020,12,Asian  ,Female  ,16,417.4,551.6,66.89,285.9
348,2020,12,Asian  ,Female  ,18,640.5,602.1,60.7,265.95
349,2020,12,Asian  ,Male  ,24,412.3,500.7,45.53,231.8
350,2020,12,Asian  ,Female  ,21,483.4,486,47.29,242.15
351,2020,12,Asian  ,Female  ,17,519.4,591.5,55.47,251.3
352,2020,12,Asian  ,Female  ,20,385.2,484.8,51.32,207.55
353,2020,12,White  ,Female  ,19,495.7,553.2,47.48,231.55
354,2020,12,Asian  ,Male  ,17,466.2,447,39.73,209.65
355,2020,12,Asian  ,Female  ,22,463.7,553.7,53.63,211.15
356,2020,12,Asian  ,Female  ,18,388.1,435.9,40.43,217.45
357,2020,12,White  ,Male  ,18,616.3,589.9,55.25,282.8
358,2020,12,Asian  ,Female  ,16,394.2,440.3,38.25,191
359,2020,12,Asian  ,Female  ,18,603.4,561.9,61.44,200.95
360,2020,12,Asian  ,Female  ,19,341.7,395.6,35.07,189.2
361,2020,12,White  ,Female  ,18,541.4,566.3,41.64,241.35
362,2020,12,Asian  ,Male  ,19,559,568.2,45.3,250.1
363,2020,12,Black  ,Female  ,19,438,462.2,50.6,219.05
364,2020,13,Asian  ,Female  ,17,408.8,388.1,41.88,209.1
365,2020,13,Asian  ,Female  ,18,395.8,377,40.56,180.3
366,2020,13,White  ,Male  ,17,431.1,544.8,48.1,253.75
367,2020,13,Asian  ,Female  ,19,603.4,523.1,43.23,243.75
368,2020,13,Asian  ,Female  ,17,540.9,471.8,41.48,175.8
369,2020,13,Asian  ,Male  ,18,529.8,493.5,40.9,266.1
370,2020,13,Asian  ,Male  ,16,438.8,561.1,61.65,251.4
371,2020,13,Asian  ,Female  ,22,384.5,460.3,51.52,227.85
372,2020,13,Asian  ,Female  ,17,419,466.9,41.78,190.05
373,2020,13,Native  ,Female  ,17,379,461.9,44.39,167.5
374,2020,13,Asian  ,Female  ,19,470.6,455.7,40.21,197.8
375,2020,13,Black  ,Female  ,22,413.3,500.6,41.95,218.65
376,2020,13,Asian  ,Male  ,16,457.2,443.5,44.91,246.55
377,2020,13,Native  ,Male  ,17,568.6,548.7,44.51,241.45
378,2020,13,Asian  ,Female  ,20,465.8,472.5,49.04,221.35
379,2020,13,Asian  ,Female  ,17,369.7,503.7,36.62,229.15
380,2020,13,Non  ,Male  ,18,484,569.2,52.83,250.55
381,2020,13,Asian  ,Male  ,18,472.5,414,48.54,185.95
382,2020,13,Asian  ,Male  ,18,509.3,513.5,55.42,261.5
383,2020,13,Asian  ,Female  ,23,363.5,445.5,50.52,229.55
384,2020,13,White  ,Female  ,18,536.7,483.1,48.12,238.25
385,2020,13,Asian  ,Female  ,19,402.5,494.3,41.21,220.55
386,2020,13,Asian  ,Male  ,21,430.9,463.6,42.48,210.6
387,2020,13,Asian  ,Male  ,20,369,471.8,38.14,199.85
388,2020,13,Asian  ,Female  ,17,379.7,474.3,40.03,188.2
389,2020,13,Asian  ,Female  ,22,352.9,345.5,39.51,183.55
390,2020,13,Asian  ,Female  ,20,404.4,486.7,40.01,206.15
391,2020,13,Asian  ,Male  ,22,369.1,431.9,43.39,215.75
392,2020,13,Asian  ,Male  ,22,494.4,363.7,34.91,183.4
393,2020,13,Asian  ,Female  ,18,481.8,540.3,49.67,244.4
394,2020,13,Asian  ,Female  ,18,510.2,426.2,38.78,163.4
395,2020,13,Asian  ,Female  ,16,402.7,476.5,41.58,188.45
